time(s)	iter	epsilon_zz	volumetric_strain	deviatoric_stress
0.001621717975002953	72500	-0.00010517518320087401	-0.00037998583967004693	505.8820178866903
0.0016713197877653502	73500	-0.002997985344950905	-0.008321201190164308	5354.674482538993
0.0017209216005277474	74500	-0.007942146037328651	-0.01306513762562135	21914.77074483273
0.0017705234132901445	75500	-0.012902438033784188	-0.016531734964963206	39497.84338031364
0.0018201252260525416	76500	-0.017862730030241157	-0.019113962196557126	47047.20499012946
0.0018697270388149387	77500	-0.022823022026697865	-0.021376614779421595	52997.05907518188
0.0019193288515773359	78500	-0.02778331402315586	-0.023229315680691143	57294.254657497215
0.001968930664339802	79500	-0.03274360601961359	-0.024854776249093928	58867.58745317819
0.002018532477102416	80500	-0.037703898016071546	-0.026471500506562027	62498.45061997835
0.00206813428986503	81500	-0.042664190012527185	-0.027954212751325307	59290.66942801213
0.002117736102627644	82500	-0.04762448200898189	-0.029195400367408805	62838.6064992922
0.002167337915390258	83500	-0.05258477400543814	-0.030748013205813475	62651.42151746448
0.002216939728152872	84500	-0.057545066001895795	-0.031920677389026195	64620.440447080924
0.002266541540915486	85500	-0.06250535799835219	-0.03297563447154756	68995.6614939199
0.0023161433536781	86500	-0.06746564999480925	-0.03406096828555497	73617.96499453177
0.002365745166440714	87500	-0.07242594199126863	-0.03490984335477919	75678.5972095015
0.002415346979203328	88500	-0.07738623398772392	-0.03596359437175666	78194.431989948
0.002464948791965942	89500	-0.08234652598418055	-0.03683805890239244	74915.05257379319
0.002514550604728556	90500	-0.08730681798063711	-0.037668490528825885	73941.2081950397
0.0025641524174911698	91500	-0.09226710997709829	-0.03833822183450393	74641.45609228531
0.0026137542302537837	92500	-0.09722740197356074	-0.0390964664349366	76378.16396592982
0.0026633560430163977	93500	-0.10218769397001481	-0.03990531959742567	77058.28419959513
0.0027129578557790117	94500	-0.10714798596647529	-0.04062682099770461	79225.56147377448
0.0027625596685416256	95500	-0.11210827796293368	-0.04110143996332735	82755.81761805831
0.0028121614813042396	96500	-0.11706856995939335	-0.04185543776105537	83868.26508013903
0.0028617632940668536	97500	-0.1220288619558479	-0.04242851301981952	85031.5740309792
0.0029113651068294675	98500	-0.12698915395230745	-0.04287767928388947	86816.39633659326
0.0029609669195920815	99500	-0.13194944594876235	-0.043435929604967505	86227.16590059298
0.0030105687323546955	100500	-0.1369097379452215	-0.044051825133754136	83881.45190059379
0.0030601705451173094	101500	-0.14187002994168027	-0.04469117116469337	86448.43020279435
0.0031097723578799234	102500	-0.14683032193813844	-0.04485783924135038	87471.66812431384
0.0031593741706425374	103500	-0.15179061393459387	-0.04529702856203094	85618.04928758604
0.0032089759834051513	104500	-0.1567509059310531	-0.0455434337032123	89504.51508956228
0.0032585777961677653	105500	-0.16171119792750902	-0.045395709657036126	92188.33467988667
0.0033081796089303793	106500	-0.16667148992396374	-0.045427213581909515	87776.40895925582
0.0033577814216929932	107500	-0.17163178192042322	-0.04569883116860754	95673.09052778172
0.003407383234455607	108500	-0.1765920739168799	-0.04576285104428063	92604.86864360697
0.003456985047218221	109500	-0.18155236591333787	-0.04591238378791421	98327.07684940347
0.003506586859980835	110500	-0.18651265790979762	-0.04586131956980519	92980.17324279288
0.003556188672743449	111500	-0.1914729499062534	-0.04596094876058876	93448.41831864096
0.003605790485506063	112500	-0.1964332419027094	-0.04575456152393323	93865.80063213226
0.003655392298268677	113500	-0.2013935338991659	-0.04598819334853252	97405.70008429931
