time(s)	iter	epsilon_zz	volumetric_strain	deviatoric_stress
0.0033552785689766117	150000	-0.00012331716697815275	-0.0004585209267614891	296.5887681317498
0.003405815864279182	151000	-0.000878928180553302	-0.0027029334649358236	52.01730984325966
0.0034563531595817524	152000	-0.005909017659926191	-0.0040668806374798555	87449.4848586533
0.003506890454884323	153000	-0.010962862126207453	-0.003630221836971928	94695.72042146904
0.0035574277501868932	154000	-0.01601670659248925	-0.003015867386501496	96040.9339590757
0.0036079650454894636	155000	-0.021070551058771512	-0.002315340182238102	96205.98392984224
0.003658502340792034	156000	-0.02612439552505096	-0.00144726716548391	94491.01516643405
0.0037090396360946044	157000	-0.031178239991328616	-0.0008226351536898997	99826.12326510277
0.003759576931397175	158000	-0.03623208445760905	-0.00016216746710021046	98743.38846196138
0.003810114226699745	159000	-0.04128592892388825	0.0004907757118232936	96138.4562937409
0.0038606515220023156	160000	-0.04633977339017002	0.0009401784607218078	97871.47357892696
0.0039111888173048856	161000	-0.05139361785645451	0.001656355706717974	101901.10070763655
0.003961726112607456	162000	-0.05644746232273415	0.0025008428097897106	99486.29173274372
0.004012263407910026	163000	-0.0615013067890151	0.0030949791521542105	98117.40289073056
0.004062800703212597	164000	-0.06655515125529325	0.003506336292469492	103113.5471912372
0.004113337998515167	165000	-0.07160899572156827	0.0042588695064234156	101159.31997478171
0.0041638752938177375	166000	-0.07666284018784764	0.004804229077180311	101000.21307492786
0.004214412589120308	167000	-0.08171668465412721	0.005279802139313422	100579.7780326048
0.004264949884422878	168000	-0.0867705291204078	0.005997273056658828	100468.04927670449
0.004315487179725449	169000	-0.09182437358668934	0.006258366207104113	98476.69566267224
0.004366024475028019	170000	-0.09687821805296633	0.00645535720249045	103260.3317991601
0.0044165617703305895	171000	-0.1019320625192456	0.006821902104953911	102005.47344393103
0.00446709906563316	172000	-0.10698590698552478	0.007117005404376209	106840.89845182015
0.00451763636093573	173000	-0.11203975145180502	0.007781608153492062	103611.88730704773
0.004568173656238301	174000	-0.11709359591808804	0.008164517116004244	102693.53540808201
0.004618710951540871	175000	-0.12214744038437159	0.008403237064422947	102418.22791225926
0.0046692482468434415	176000	-0.12720128485064983	0.008831011980277526	104872.32186655253
0.004719785542146012	177000	-0.13225512931692734	0.009069847934428055	102337.4750809973
0.004770322837448582	178000	-0.13730897378320542	0.009218369479764649	100676.89603550782
0.004820860132751153	179000	-0.14236281824948413	0.0094747107362613	98356.41609935225
0.004871397428053723	180000	-0.14741666271576212	0.009539527069231946	103612.10766898883
0.0049219347233562935	181000	-0.15247050718204475	0.00994619425976917	102049.3847226768
0.004972472018658864	182000	-0.1575243516483256	0.010172163182304739	101679.30136053411
0.005023009313961434	183000	-0.16257819611460667	0.010288506822164478	98428.1230597763
0.005073546609264005	184000	-0.16763204058088768	0.010209611655502299	96762.14141457023
0.005124083904566575	185000	-0.17268588504716811	0.010286921926435377	99612.18766651081
0.0051746211998691454	186000	-0.17773972951344902	0.010411290353416564	100628.38205222877
0.005225158495171716	187000	-0.18279357397973217	0.01055610667006407	97262.88619642374
0.005275695790474286	188000	-0.18784741844601252	0.010740600992858812	97819.4936359817
0.005326233085776857	189000	-0.19290126291229473	0.0109516225094764	95373.49944130897
0.005376770381079427	190000	-0.19795510737857322	0.010976598242020852	97181.04475547226
0.005427307676381997	191000	-0.2030089518448526	0.010788987282202928	96210.01001644561
